date,site_id,rainfall_mm,temp_C,slope_angle,vibration,displacement,pore_pressure,label
2025-03-21,1,26.89,23.77,37.72,0.15,0.04,0.95,0
2025-03-22,1,12.37,32.74,39.35,0.17,0.16,0.37,0
2025-03-23,1,15.86,30.15,37.54,0.1,0.08,0.74,0
2025-03-24,1,21.19,28.76,39.02,0.04,0.13,0.65,0
2025-03-25,1,18.06,27.08,39.3,0.1,0.13,1.03,0
2025-03-26,1,28.7,26.99,39.62,0.13,0.15,0.77,0
2025-03-27,1,35.99,27.0,41.17,0.23,0.13,0.85,0
2025-03-28,1,49.46,27.73,40.4,0.09,0.06,0.94,0
2025-03-29,1,83.96,25.49,38.85,0.15,0.18,1.33,1
2025-03-30,1,9.02,24.04,40.3,0.06,0.11,0.55,0
2025-03-31,1,29.42,27.43,38.9,0.14,0.09,0.83,0
2025-04-01,1,10.81,23.3,36.72,0.1,0.09,0.72,0
2025-04-02,1,71.02,22.95,40.04,0.06,0.07,1.22,1
2025-04-03,1,65.06,26.86,39.86,0.15,0.03,1.04,1
2025-04-04,1,39.21,26.71,38.66,0.07,0.08,0.88,0
2025-04-05,1,18.7,29.97,37.56,0.1,0.04,0.49,0
2025-04-06,1,31.43,27.93,40.95,0.14,0.07,1.12,0
2025-04-07,1,13.77,32.34,39.75,0.21,0.06,0.9,0
2025-04-08,1,78.94,32.02,37.92,0.15,0.12,1.51,1
2025-04-09,1,60.33,32.68,39.58,0.12,0.16,1.4,1
2025-04-10,1,59.88,25.67,39.54,0.04,0.17,1.11,1
2025-04-11,1,64.19,32.49,37.59,0.19,0.03,1.0,1
2025-04-12,1,71.79,23.44,40.33,0.09,0.12,1.01,1
2025-04-13,1,34.59,24.3,38.86,0.06,0.04,0.73,0
2025-04-14,1,60.15,28.55,38.45,0.09,0.13,1.21,1
2025-04-15,1,10.55,24.72,37.76,0.08,0.13,0.99,0
2025-04-16,1,109.42,23.69,38.53,0.43,0.23,1.65,1
2025-04-17,1,8.68,28.48,38.97,0.06,0.08,0.44,0
2025-04-18,1,36.02,26.65,37.65,0.08,0.09,0.89,0
2025-04-19,1,82.63,33.8,37.7,0.14,0.12,1.23,1
2025-04-20,1,31.17,30.59,36.77,0.12,0.07,0.97,0
2025-04-21,1,58.87,32.05,39.72,0.13,0.06,1.21,1
2025-04-22,1,21.01,26.94,39.29,0.11,0.08,0.53,0
2025-04-23,1,55.6,24.73,37.41,0.12,0.09,1.41,1
2025-04-24,1,41.11,29.45,38.7,0.13,0.16,0.44,0
2025-04-25,1,43.44,26.2,39.2,0.11,0.15,0.88,0
2025-04-26,1,17.2,26.29,39.81,0.11,0.07,0.69,0
2025-04-27,1,49.77,25.47,39.94,0.2,0.02,0.89,0
2025-04-28,1,145.15,32.47,37.68,0.47,0.54,1.99,2
2025-04-29,1,36.22,29.21,38.55,0.15,0.19,0.94,0
2025-04-30,1,3.2,27.32,39.57,0.11,0.1,0.73,0
2025-05-01,1,43.53,30.42,39.54,0.21,0.1,0.69,0
2025-05-02,1,12.75,31.59,38.9,0.05,0.02,0.23,0
2025-05-03,1,49.97,24.42,38.19,0.04,0.07,0.82,0
2025-05-04,1,19.17,28.55,39.09,0.04,0.03,0.25,0
2025-05-05,1,98.93,27.81,39.37,0.04,0.19,1.38,1
2025-05-06,1,39.01,30.44,38.88,0.09,0.11,1.02,0
2025-05-07,1,47.02,27.65,40.09,0.11,0.15,0.96,0
2025-05-08,1,14.53,27.03,39.06,0.16,-0.01,0.92,0
2025-05-09,1,70.6,26.6,38.29,0.01,0.16,1.36,1
2025-05-10,1,36.83,29.44,39.96,0.06,0.1,0.63,0
2025-05-11,1,29.87,25.86,38.76,0.08,0.08,0.81,0
2025-05-12,1,72.46,27.4,37.06,0.24,0.05,1.35,1
2025-05-13,1,14.96,22.32,39.27,0.08,0.18,0.81,0
2025-05-14,1,80.96,26.35,40.82,0.1,0.02,1.05,1
2025-05-15,1,11.81,25.78,40.74,0.05,0.12,0.35,0
2025-05-16,1,59.48,28.46,37.86,0.04,0.1,1.22,1
2025-05-17,1,58.48,28.92,39.95,0.13,0.15,0.98,1
2025-05-18,1,29.44,30.28,39.38,0.08,0.13,1.31,0
2025-05-19,1,24.48,31.14,39.32,0.04,0.03,0.73,0
2025-05-20,1,32.59,29.58,39.73,0.09,0.14,1.15,0
2025-05-21,1,50.58,32.25,39.28,0.1,0.06,0.78,1
2025-05-22,1,27.36,20.64,39.83,-0.03,0.09,0.86,0
2025-05-23,1,20.08,30.74,39.57,0.12,0.04,0.87,0
2025-05-24,1,37.75,27.69,39.45,0.1,0.1,0.78,0
2025-05-25,1,16.79,31.42,39.9,0.16,0.1,0.56,0
2025-05-26,1,71.18,29.59,39.22,0.16,0.07,1.27,1
2025-05-27,1,40.82,27.0,38.15,0.17,0.13,1.06,0
2025-05-28,1,22.65,26.09,39.51,0.05,0.15,1.06,0
2025-05-29,1,16.51,28.96,38.54,0.19,0.13,0.53,0
2025-05-30,1,27.4,28.99,38.53,0.24,0.04,0.42,0
2025-05-31,1,80.31,29.24,37.8,0.11,0.06,1.37,1
2025-06-01,1,11.15,25.51,38.02,0.08,0.07,0.67,0
2025-06-02,1,23.99,30.36,39.21,0.15,0.05,0.56,0
2025-06-03,1,17.2,32.67,38.15,0.04,0.01,0.47,0
2025-06-04,1,20.67,24.12,38.01,0.1,0.04,0.98,0
2025-06-05,1,66.01,24.82,39.62,0.06,0.13,1.29,1
2025-06-06,1,39.58,24.93,38.13,0.08,0.11,0.56,0
2025-06-07,1,30.94,30.42,37.61,0.07,0.1,1.25,0
2025-06-08,1,61.22,24.93,38.32,0.07,0.17,1.14,1
2025-06-09,1,39.23,28.92,39.3,0.15,0.18,0.3,0
2025-06-10,1,55.94,26.56,38.98,0.09,0.1,1.15,1
2025-06-11,1,3.68,23.19,38.51,0.09,0.1,0.51,0
2025-06-12,1,32.3,23.99,39.24,0.09,0.17,1.14,0
2025-06-13,1,15.69,25.15,37.75,0.12,0.12,1.07,0
2025-06-14,1,19.09,23.97,39.19,0.12,0.12,0.63,0
2025-06-15,1,16.95,30.8,39.53,0.2,0.09,0.67,0
2025-06-16,1,9.71,25.19,37.68,0.17,0.05,0.76,0
2025-06-17,1,42.06,24.19,39.29,0.13,0.18,1.3,0
2025-06-18,1,72.21,27.03,39.44,-0.06,0.06,1.45,1
2025-06-19,1,45.09,26.59,37.51,0.17,0.13,0.92,0
2025-06-20,1,113.81,25.11,38.67,0.67,0.24,1.67,1
2025-06-21,1,55.02,25.89,40.17,0.15,0.08,0.61,1
2025-06-22,1,44.47,24.85,41.49,0.05,-0.0,0.98,0
2025-06-23,1,54.98,29.44,38.61,0.02,0.08,1.15,1
2025-06-24,1,96.12,29.65,40.2,0.0,0.21,1.63,1
2025-06-25,1,45.59,27.65,39.94,0.06,0.12,0.84,0
2025-06-26,1,70.08,26.08,39.48,0.04,0.13,1.32,1
2025-06-27,1,1.21,29.08,37.91,0.08,-0.01,0.76,0
2025-06-28,1,15.86,27.65,39.21,0.09,0.05,0.62,0
2025-06-29,1,82.04,32.03,38.01,0.06,0.05,1.17,1
2025-06-30,1,71.13,24.14,39.28,0.09,0.07,1.19,1
2025-07-01,1,54.11,27.58,39.41,0.14,0.17,1.07,1
2025-07-02,1,18.39,27.21,37.33,0.08,0.06,0.29,0
2025-07-03,1,66.27,25.39,38.15,0.07,0.11,1.3,1
2025-07-04,1,21.68,26.82,36.75,0.05,0.08,0.99,0
2025-07-05,1,64.91,25.55,38.22,0.09,0.11,0.61,1
2025-07-06,1,22.57,28.79,39.88,0.15,0.17,1.07,0
2025-07-07,1,43.84,22.77,39.61,0.11,0.13,1.01,0
2025-07-08,1,100.55,32.39,40.02,0.38,0.2,1.43,1
2025-07-09,1,33.4,24.23,39.73,0.23,0.08,0.67,0
2025-07-10,1,55.05,22.15,38.64,0.25,0.07,1.19,1
2025-07-11,1,9.06,28.52,40.13,0.14,0.05,0.59,0
2025-07-12,1,22.26,25.75,38.55,0.08,0.08,0.74,0
2025-07-13,1,51.16,23.91,38.3,0.11,0.16,0.99,1
2025-07-14,1,36.2,34.18,40.03,0.09,0.05,0.98,0
2025-07-15,1,8.75,26.56,39.19,0.12,0.17,0.74,0
2025-07-16,1,19.88,31.65,39.48,0.17,0.18,0.86,0
2025-07-17,1,31.38,28.67,38.9,0.08,0.11,0.47,0
2025-07-18,1,51.11,25.65,38.64,0.1,0.07,1.02,1
2025-07-19,1,28.75,29.09,37.0,0.12,0.07,0.76,0
2025-07-20,1,45.4,29.58,40.31,0.12,0.16,0.91,0
2025-07-21,1,30.28,31.51,38.85,-0.03,0.07,0.8,0
2025-07-22,1,30.36,25.5,36.93,0.08,0.14,0.83,0
2025-07-23,1,92.47,29.43,41.1,0.1,0.11,1.45,1
2025-07-24,1,60.81,29.73,37.79,0.16,0.09,1.14,1
2025-07-25,1,63.82,27.28,37.21,0.17,0.16,1.16,1
2025-07-26,1,37.36,27.4,37.39,0.07,0.09,0.68,0
2025-07-27,1,31.83,24.43,39.46,0.06,0.11,1.07,0
2025-07-28,1,22.79,30.84,38.95,0.15,0.07,0.83,0
2025-07-29,1,12.82,25.84,40.95,0.12,0.0,0.61,0
2025-07-30,1,52.45,21.34,37.51,0.09,0.13,0.98,1
2025-07-31,1,27.58,28.99,39.56,0.15,0.07,0.67,0
2025-08-01,1,87.5,28.99,40.16,0.15,0.13,1.36,1
2025-08-02,1,37.35,24.35,37.7,0.09,0.11,0.88,0
2025-08-03,1,21.48,30.8,38.54,0.16,0.07,0.5,0
2025-08-04,1,28.84,24.65,37.86,0.1,0.07,0.96,0
2025-08-05,1,14.42,25.26,39.68,0.06,0.14,0.7,0
2025-08-06,1,50.29,26.81,38.11,0.06,0.02,1.02,1
2025-08-07,1,21.74,31.37,38.63,0.18,-0.01,0.89,0
2025-08-08,1,84.36,22.97,38.06,0.09,0.13,1.55,1
2025-08-09,1,47.12,29.35,39.81,0.1,0.13,1.12,0
2025-08-10,1,2.61,32.48,38.16,0.06,0.05,0.66,0
2025-08-11,1,99.48,25.55,38.92,0.17,0.12,1.94,1
2025-08-12,1,7.73,27.73,39.41,0.1,0.13,0.3,0
2025-08-13,1,86.06,22.93,38.21,0.02,0.11,1.21,1
2025-08-14,1,30.11,31.05,38.37,0.08,0.11,0.44,0
2025-08-15,1,77.89,25.0,36.73,-0.0,0.01,1.22,1
2025-08-16,1,33.27,20.56,39.73,0.09,0.11,1.38,0
2025-08-17,1,57.43,29.92,39.0,0.1,0.09,1.1,1
2025-08-18,1,35.46,27.02,38.19,0.02,0.12,0.88,0
2025-08-19,1,37.75,25.85,38.39,0.06,0.07,0.36,0
2025-08-20,1,15.44,27.99,38.68,0.12,0.15,0.59,0
2025-08-21,1,37.79,26.89,39.07,0.09,0.06,0.81,0
2025-08-22,1,59.35,28.87,38.84,0.13,0.07,0.85,1
2025-08-23,1,22.52,24.66,39.5,0.19,0.11,0.78,0
2025-08-24,1,16.31,28.37,39.55,0.14,0.1,0.63,0
2025-08-25,1,38.52,25.56,39.59,0.17,0.11,0.93,0
2025-08-26,1,32.37,26.16,37.63,0.13,0.22,0.82,1
2025-08-27,1,9.96,26.03,39.47,0.04,0.01,0.35,0
2025-08-28,1,92.05,23.7,39.36,0.15,0.18,1.55,1
2025-08-29,1,31.73,26.87,38.73,0.15,0.04,0.89,0
2025-08-30,1,24.36,22.06,38.23,0.08,0.17,0.67,0
2025-08-31,1,27.62,27.43,39.12,0.19,0.08,1.02,0
2025-09-01,1,58.19,27.28,39.01,0.11,0.08,1.01,1
2025-09-02,1,39.74,30.56,39.75,0.11,0.09,0.79,0
2025-09-03,1,12.9,25.31,37.87,0.03,0.11,0.74,0
2025-09-04,1,103.22,22.4,40.19,0.32,0.26,1.28,1
2025-09-05,1,34.82,18.76,38.96,0.12,0.15,0.77,0
2025-09-06,1,51.73,28.68,40.04,0.14,0.05,0.71,1
2025-09-07,1,35.18,26.35,37.71,0.03,-0.02,0.45,0
2025-01-01,2,82.74,33.15,38.49,0.13,0.16,1.12,1
2025-01-02,2,22.61,23.27,36.43,0.09,0.15,0.85,0
2025-01-03,2,18.88,30.66,38.68,0.15,0.02,0.67,0
2025-01-04,2,34.35,26.13,38.62,0.12,0.12,0.75,0
2025-01-05,2,56.42,26.22,37.99,0.12,0.11,1.14,1
2025-01-06,2,14.87,29.78,37.52,0.09,0.15,0.49,0
2025-01-07,2,53.16,29.36,37.77,0.01,-0.03,1.24,1
2025-01-08,2,47.54,25.04,38.07,0.06,0.12,1.23,0
2025-01-09,2,21.23,30.14,38.14,0.18,0.07,1.01,0
2025-01-10,2,30.89,20.95,40.54,0.14,0.19,0.82,0
2025-01-11,2,22.39,23.62,36.53,0.14,0.09,0.9,0
2025-01-12,2,22.14,23.57,37.42,0.12,0.11,0.53,0
2025-01-13,2,26.47,32.34,38.32,0.2,0.04,0.65,0
2025-01-14,2,14.15,23.49,38.78,0.09,0.05,0.8,0
2025-01-15,2,18.09,25.32,38.04,0.24,0.06,0.72,0
2025-01-16,2,7.99,28.79,39.01,0.18,0.07,0.67,0
2025-01-17,2,42.78,27.69,38.94,0.11,0.15,0.79,0
2025-01-18,2,29.4,26.14,37.7,0.14,0.03,0.57,0
2025-01-19,2,95.98,22.03,37.4,0.1,0.24,1.3,1
2025-01-20,2,42.73,26.66,37.76,-0.0,0.05,0.99,0
2025-01-21,2,41.26,29.4,37.97,0.15,0.05,1.16,0
2025-01-22,2,48.85,28.31,38.62,0.16,0.15,1.2,0
2025-01-23,2,14.08,28.11,38.36,0.16,0.06,0.98,0
2025-01-24,2,38.04,26.19,36.16,0.07,0.09,0.52,0
2025-01-25,2,21.83,26.6,36.3,0.04,0.13,0.84,0
2025-01-26,2,16.76,23.61,38.15,0.03,-0.01,0.71,0
2025-01-27,2,22.32,29.22,38.52,0.17,0.02,0.97,0
2025-01-28,2,6.55,29.39,38.22,0.1,0.2,0.52,1
2025-01-29,2,30.41,31.51,39.67,0.19,0.12,1.39,0
2025-01-30,2,23.06,24.99,38.78,0.16,0.06,0.49,0
2025-01-31,2,19.79,23.38,36.22,0.06,0.1,0.52,0
2025-02-01,2,116.14,24.07,39.17,0.47,0.25,2.07,1
2025-02-02,2,10.7,29.16,38.5,0.04,0.1,0.89,0
2025-02-03,2,25.16,27.62,39.39,0.07,0.11,0.67,0
2025-02-04,2,11.31,30.52,37.49,0.07,0.08,0.61,0
2025-02-05,2,35.6,25.54,38.83,0.17,0.08,0.85,0
2025-02-06,2,9.29,28.01,37.95,0.13,0.11,0.83,0
2025-02-07,2,23.06,28.22,35.9,0.15,0.16,0.93,0
2025-02-08,2,88.1,28.2,37.75,0.05,0.15,1.41,1
2025-02-09,2,27.89,27.86,37.95,0.08,0.1,0.85,0
2025-02-10,2,26.4,24.47,38.09,0.17,0.12,0.94,0
2025-02-11,2,22.19,26.4,37.57,0.16,0.18,0.8,0
2025-02-12,2,58.63,33.33,36.82,0.15,0.07,1.08,1
2025-02-13,2,53.71,24.59,36.99,0.07,0.1,1.04,1
2025-02-14,2,14.72,27.55,38.1,0.14,0.04,0.72,0
2025-02-15,2,58.18,30.03,38.8,0.12,0.04,0.97,1
2025-02-16,2,25.68,26.06,37.77,0.09,0.16,0.62,0
2025-02-17,2,77.79,29.49,38.65,0.09,0.19,1.55,1
2025-02-18,2,42.91,22.81,37.53,0.12,0.14,0.67,0
2025-02-19,2,67.77,24.68,37.1,0.16,0.12,1.05,1
2025-02-20,2,76.19,27.84,37.38,0.11,0.12,1.04,1
2025-02-21,2,31.5,30.95,37.55,0.05,0.12,1.13,0
2025-02-22,2,42.24,27.49,38.88,0.16,0.17,1.1,0
2025-02-23,2,28.57,23.93,36.78,0.08,0.07,0.83,0
2025-02-24,2,40.31,36.91,38.33,0.2,0.09,1.09,0
2025-02-25,2,32.27,24.57,40.38,0.02,0.04,0.71,0
2025-02-26,2,38.0,24.06,38.58,0.0,0.12,1.4,0
2025-02-27,2,22.32,31.5,37.39,0.09,0.21,0.87,1
2025-02-28,2,75.33,26.98,37.62,0.1,0.04,1.09,1
2025-03-01,2,21.52,24.62,35.66,0.06,0.07,0.89,0
2025-03-02,2,76.48,36.09,37.57,0.1,0.03,1.49,1
2025-03-03,2,32.13,26.97,37.03,0.04,0.11,0.66,0
2025-03-04,2,47.87,23.69,37.74,0.1,0.02,1.11,0
2025-03-05,2,41.99,27.95,36.38,0.05,0.17,0.99,0
2025-03-06,2,17.96,23.69,37.99,0.08,0.1,0.91,0
2025-03-07,2,58.22,29.65,37.84,0.09,0.12,1.18,1
2025-03-08,2,26.55,32.32,39.25,0.16,0.02,0.71,0
2025-03-09,2,33.67,29.77,37.86,0.14,0.13,0.76,0
2025-03-10,2,34.7,30.17,37.65,0.06,0.12,0.58,0
2025-03-11,2,100.13,24.75,37.48,0.55,0.21,1.28,1
2025-03-12,2,32.5,27.24,38.77,0.06,0.16,0.83,0
2025-03-13,2,55.5,28.34,38.0,0.1,0.09,1.25,1
2025-03-14,2,33.87,26.36,37.16,0.2,0.04,0.75,0
2025-03-15,2,20.16,30.8,38.33,0.07,0.06,0.41,0
2025-03-16,2,30.89,23.5,37.73,0.05,0.07,0.9,0
2025-03-17,2,46.02,29.11,38.0,0.13,0.25,1.16,1
2025-03-18,2,57.4,27.02,37.19,0.02,0.11,1.17,1
2025-03-19,2,27.32,27.24,38.58,-0.01,0.07,0.85,0
2025-03-20,2,9.06,29.88,38.3,0.22,0.13,0.85,0
2025-03-21,2,46.13,27.03,37.84,0.15,0.13,1.16,0
2025-03-22,2,40.0,28.4,40.22,0.12,0.07,0.84,0
2025-03-23,2,44.56,25.12,38.75,0.13,0.12,1.11,0
2025-03-24,2,17.23,27.83,36.87,0.11,0.05,0.55,0
2025-03-25,2,32.74,29.28,38.59,0.16,0.06,0.76,0
2025-03-26,2,70.61,28.04,37.91,0.09,0.09,1.42,1
2025-03-27,2,13.62,29.55,37.0,0.12,0.13,0.41,0
2025-03-28,2,38.95,29.13,39.32,0.01,0.08,0.74,0
2025-03-29,2,51.44,22.83,37.19,-0.01,0.11,1.21,1
2025-03-30,2,14.13,25.56,37.22,0.05,0.08,0.77,0
2025-03-31,2,107.41,27.75,39.01,0.62,0.21,1.94,1
2025-04-01,2,80.83,27.85,37.2,0.05,0.08,1.31,1
2025-04-02,2,39.03,31.31,37.9,0.04,0.06,0.65,0
2025-04-03,2,57.07,31.36,37.78,0.13,0.05,1.13,1
2025-04-04,2,75.25,24.49,37.64,0.12,0.17,1.16,1
2025-04-05,2,11.04,29.4,39.3,0.16,0.1,0.64,0
2025-04-06,2,23.83,24.3,37.47,0.14,0.12,0.8,0
2025-04-07,2,18.74,26.69,36.72,0.06,0.17,0.51,0
2025-04-08,2,29.75,25.78,37.73,0.13,0.09,0.52,0
2025-04-09,2,43.81,27.62,39.08,0.12,0.13,0.71,0
2025-04-10,2,61.46,35.14,39.5,0.08,0.08,1.18,1
2025-04-11,2,111.34,26.55,39.87,0.53,0.22,1.54,1
2025-04-12,2,27.37,29.43,37.25,0.14,0.17,0.49,0
2025-04-13,2,43.93,22.03,36.87,0.04,0.07,0.91,0
2025-04-14,2,38.6,25.5,36.63,0.11,0.02,0.75,0
2025-04-15,2,30.79,31.17,39.8,0.11,0.08,0.96,0
2025-04-16,2,12.46,28.94,35.46,0.1,0.03,0.57,0
2025-04-17,2,56.64,26.19,37.06,0.09,0.08,0.91,1
2025-04-18,2,4.75,22.15,36.49,0.15,0.05,0.6,0
2025-04-19,2,204.95,25.95,38.93,0.45,0.74,2.81,2
2025-04-20,2,18.53,29.22,38.9,0.2,0.11,0.4,0
2025-04-21,2,88.06,28.67,38.51,0.05,0.2,1.25,1
2025-04-22,2,64.44,23.62,38.16,0.05,0.06,0.87,1
2025-04-23,2,72.62,28.21,39.66,0.1,0.1,1.02,1
2025-04-24,2,26.58,26.59,38.14,0.06,0.1,0.46,0
2025-04-25,2,68.71,25.07,37.76,0.05,0.11,1.17,1
2025-04-26,2,5.96,32.28,37.86,0.1,0.21,0.58,1
2025-04-27,2,96.11,20.94,38.04,0.15,0.11,1.57,1
2025-04-28,2,16.82,24.43,38.9,0.06,0.17,1.01,0
2025-04-29,2,5.0,27.69,36.3,0.09,0.1,0.26,0
2025-04-30,2,54.74,23.0,38.52,0.08,0.15,0.78,1
2025-05-01,2,5.75,30.01,38.6,-0.03,0.12,0.28,0
2025-05-02,2,15.01,26.31,37.8,0.18,0.08,0.75,0
2025-05-03,2,42.26,29.06,38.66,0.09,0.13,0.97,0
2025-05-04,2,9.8,24.4,39.1,0.12,0.04,0.64,0
2025-05-05,2,27.36,27.06,37.72,0.08,0.16,1.02,0
2025-05-06,2,31.99,26.9,37.66,0.08,0.07,0.59,0
2025-05-07,2,91.11,29.8,36.87,0.05,0.18,1.48,1
2025-05-08,2,75.95,30.44,38.57,0.14,0.09,0.91,1
2025-05-09,2,29.15,27.8,39.4,0.16,0.11,0.69,0
2025-05-10,2,72.78,28.91,36.68,0.07,0.13,1.35,1
2025-05-11,2,29.04,26.33,37.85,0.11,0.1,0.9,0
2025-05-12,2,45.23,31.75,37.27,0.07,0.07,1.02,0
2025-05-13,2,2.82,26.34,37.88,0.13,0.14,0.7,0
2025-05-14,2,9.3,24.41,37.75,0.04,0.06,0.92,0
2025-05-15,2,60.64,26.03,38.95,0.08,0.09,1.22,1
2025-05-16,2,80.7,28.11,38.66,0.14,0.16,1.11,1
2025-05-17,2,43.29,21.47,37.34,0.1,0.01,0.77,0
2025-05-18,2,47.76,24.77,38.62,0.12,0.13,0.91,0
2025-05-19,2,131.04,24.83,36.08,0.4,0.42,2.05,1
2025-05-20,2,22.1,30.55,37.44,0.08,0.1,0.83,0
2025-05-21,2,15.2,31.29,39.23,0.15,0.17,0.68,0
2025-05-22,2,57.56,24.09,38.7,0.05,0.03,1.08,1
2025-05-23,2,20.84,27.62,38.01,0.15,0.07,0.79,0
2025-05-24,2,75.71,23.07,36.24,0.07,0.02,1.29,1
2025-05-25,2,49.2,26.55,38.49,0.05,0.13,0.96,0
2025-05-26,2,19.2,22.68,39.61,0.16,0.17,0.69,0
2025-05-27,2,5.52,25.0,38.02,0.11,0.12,0.12,0
